tipo producto,precio,cantidad,credit card,marca,fecha,categoria,subcategoria
outerwear,3878.47,15,switch,Batman,27/08/2014,clothing shoes & jewelry,women's clothing
suits,7112.6,20,jcb,Mossimo,21/08/2014,clothing shoes & jewelry,women's clothing
skirts,631.51,8,jcb,Cherokee,13/05/2015,clothing shoes & jewelry,women's clothing
outerwear,8507.18,6,diners-club-carte-blanche,Ambar,28/10/2014,clothing shoes & jewelry,women's clothing
jeans,6392.85,19,diners-club-enroute,XOXO,28/09/2014,clothing shoes & jewelry,women's clothing
suits,3782.58,14,jcb,Mossimo Supply Co.,07/09/2014,clothing shoes & jewelry,women's clothing
intimates,9824.55,7,china-unionpay,Corona,31/03/2015,clothing shoes & jewelry,women's clothing
outerwear,8940.65,3,jcb,Mossimo,26/03/2015,clothing shoes & jewelry,women's clothing
suits,5319.25,8,americanexpress,Mossimo Supply Co.,12/12/2014,clothing shoes & jewelry,women's clothing
pants,479.49,3,americanexpress,Dickies,31/07/2014,clothing shoes & jewelry,women's clothing
swimsuits,9365.55,13,visa-electron,Olde School,15/03/2015,clothing shoes & jewelry,women's clothing
outerwear,1928.73,11,maestro,Harper and Zoe,14/09/2014,clothing shoes & jewelry,women's clothing
activewear,2028.17,11,maestro,DC Comics,04/07/2014,clothing shoes & jewelry,women's clothing
pants,6723.71,1,instapayment,Dickies,27/04/2015,clothing shoes & jewelry,women's clothing
sweaters,5945.4,6,china-unionpay,Xhilaration,06/01/2015,clothing shoes & jewelry,women's clothing
socks & hosiery,6630.2,20,instapayment,Corona,30/07/2014,clothing shoes & jewelry,women's clothing
pants,2678.64,2,laser,Dickies,18/05/2015,clothing shoes & jewelry,women's clothing
dresses,592.8,2,jcb,Dickies,28/03/2015,clothing shoes & jewelry,women's clothing
socks & hosiery,178.66,8,diners-club-carte-blanche,Lilly Pulitzer for Target,23/04/2015,clothing shoes & jewelry,women's clothing
sweaters,7235.23,10,jcb,XOXO,05/06/2014,clothing shoes & jewelry,women's clothing
shorts,9546.85,7,jcb,ISANI for Target,08/05/2015,clothing shoes & jewelry,women's clothing
socks & hosiery,1949.96,18,jcb,ISANI for Target,29/08/2014,clothing shoes & jewelry,women's clothing
socks & hosiery,3426.88,18,americanexpress,Xhilaration,28/07/2014,clothing shoes & jewelry,women's clothing
skirts,8695.91,4,laser,Vanilla Star,20/02/2015,clothing shoes & jewelry,women's clothing
intimates,1170.95,17,jcb,Vanilla Star,25/11/2014,clothing shoes & jewelry,women's clothing
swimsuits,2392.27,2,maestro,Mossimo,12/01/2015,clothing shoes & jewelry,women's clothing
outerwear,2329.37,1,maestro,Ambar,16/12/2014,clothing shoes & jewelry,women's clothing
dresses,9440.28,10,diners-club-carte-blanche,Batman,16/08/2014,clothing shoes & jewelry,women's clothing
pants,6039.93,18,americanexpress,Denizen from Levi's,20/06/2014,clothing shoes & jewelry,women's clothing
suits,608.02,1,mastercard,DC Comics,15/12/2014,clothing shoes & jewelry,women's clothing
suits,7458.57,11,visa-electron,C9 Champion,04/03/2015,clothing shoes & jewelry,women's clothing
skirts,2809.67,1,jcb,Lilly Pulitzer for Target,28/03/2015,clothing shoes & jewelry,women's clothing
pants,2963.62,9,jcb,Ambar,10/03/2015,clothing shoes & jewelry,women's clothing
jeans,1792.54,17,jcb,Jeffrey Max,22/11/2014,clothing shoes & jewelry,women's clothing
jeans,4920.96,1,jcb,Merona,15/09/2014,clothing shoes & jewelry,women's clothing
outerwear,7933.69,11,jcb,Mossimo,07/04/2015,clothing shoes & jewelry,women's clothing
activewear,362.3,19,americanexpress,Corona,08/09/2014,clothing shoes & jewelry,women's clothing
tops,1678.93,18,switch,Wrangler,24/10/2014,clothing shoes & jewelry,women's clothing
blazers & jackets,7928.41,7,americanexpress,Batman,08/09/2014,clothing shoes & jewelry,women's clothing
socks & hosiery,5229.81,11,jcb,Batman,15/10/2014,clothing shoes & jewelry,women's clothing
tops,8630.82,16,instapayment,Lily Star,18/08/2014,clothing shoes & jewelry,women's clothing
swimsuits,4879.11,7,jcb,Dickies,29/01/2015,clothing shoes & jewelry,women's clothing
intimates,2409.72,9,jcb,Denizen from Levi's,26/12/2014,clothing shoes & jewelry,women's clothing
sweaters,9898.89,14,maestro,Star Wars,21/05/2014,clothing shoes & jewelry,women's clothing
sleepwear,3021.16,11,jcb,Xhilaration,02/01/2015,clothing shoes & jewelry,women's clothing
skirts,2348.76,3,diners-club-enroute,VERO MODA,03/05/2015,clothing shoes & jewelry,women's clothing
blazers & jackets,9737.54,2,bankcard,Vanilla Star,18/02/2015,clothing shoes & jewelry,women's clothing
shorts,1633.3,3,jcb,Xhilaration,16/05/2015,clothing shoes & jewelry,women's clothing
skirts,5618.07,1,jcb,Jeffrey Max,04/02/2015,clothing shoes & jewelry,women's clothing
shorts,9728.92,11,jcb,DC Comics,29/11/2014,clothing shoes & jewelry,women's clothing
sweaters,6513.81,4,jcb,Harper and Zoe,14/04/2015,clothing shoes & jewelry,women's clothing
swimsuits,8647.1,5,jcb,C9 Champion,27/05/2014,clothing shoes & jewelry,women's clothing
swimsuits,329.86,11,mastercard,Wrangler,17/07/2014,clothing shoes & jewelry,women's clothing
socks & hosiery,200.75,10,jcb,ISANI for Target,23/02/2015,clothing shoes & jewelry,women's clothing
jeans,191.26,7,jcb,Tevolio,03/04/2015,clothing shoes & jewelry,women's clothing
sweaters,7542.11,18,jcb,Batman,20/03/2015,clothing shoes & jewelry,women's clothing
sweaters,6663.72,19,jcb,Harper and Zoe,07/10/2014,clothing shoes & jewelry,women's clothing
intimates,8794.23,12,china-unionpay,Mossimo,11/01/2015,clothing shoes & jewelry,women's clothing
skirts,118.3,11,jcb,Olde School,16/06/2014,clothing shoes & jewelry,women's clothing
activewear,7507.93,9,solo,Mossimo,27/10/2014,clothing shoes & jewelry,women's clothing
sweaters,6404.64,6,jcb,Denizen from Levi's,22/03/2015,clothing shoes & jewelry,women's clothing
pants,2813.71,16,switch,Corona,01/09/2014,clothing shoes & jewelry,women's clothing
suits,2982.55,20,instapayment,Olde School,28/02/2015,clothing shoes & jewelry,women's clothing
outerwear,5154.23,16,bankcard,VERO MODA,24/11/2014,clothing shoes & jewelry,women's clothing
blazers & jackets,5198.54,15,mastercard,Lily Star,07/06/2014,clothing shoes & jewelry,women's clothing
blazers & jackets,6070.74,3,mastercard,Lilly Pulitzer for Target,01/06/2014,clothing shoes & jewelry,women's clothing
suits,270.74,12,americanexpress,Batman,14/07/2014,clothing shoes & jewelry,women's clothing
swimsuits,9773.24,13,visa-electron,Mossimo,06/12/2014,clothing shoes & jewelry,women's clothing
socks & hosiery,4447.74,14,jcb,Merona,16/08/2014,clothing shoes & jewelry,women's clothing
intimates,3440.63,5,mastercard,ISANI for Target,19/04/2015,clothing shoes & jewelry,women's clothing
outerwear,473.15,7,switch,Ambar,02/10/2014,clothing shoes & jewelry,women's clothing
blazers & jackets,994.98,3,jcb,Olde School,18/10/2014,clothing shoes & jewelry,women's clothing
outerwear,8123.88,20,jcb,Mossimo,12/09/2014,clothing shoes & jewelry,women's clothing
skirts,4344.54,1,mastercard,Vanilla Star,06/09/2014,clothing shoes & jewelry,women's clothing
intimates,43.76,12,jcb,Mossimo Supply Co,22/05/2014,clothing shoes & jewelry,women's clothing
swimsuits,7091.05,1,instapayment,Mossimo,18/03/2015,clothing shoes & jewelry,women's clothing
dresses,5575.04,7,jcb,Ambar,01/11/2014,clothing shoes & jewelry,women's clothing
sweaters,8118.14,14,jcb,VERO MODA,17/03/2015,clothing shoes & jewelry,women's clothing
swimsuits,5139.78,4,laser,Tevolio,13/08/2014,clothing shoes & jewelry,women's clothing
sweaters,425.19,15,diners-club-carte-blanche,ISANI for Target,28/04/2015,clothing shoes & jewelry,women's clothing
activewear,7859.54,5,switch,Corona,19/07/2014,clothing shoes & jewelry,women's clothing
outerwear,260.82,14,jcb,Olde School,09/06/2014,clothing shoes & jewelry,women's clothing
socks & hosiery,5052.78,16,bankcard,Olde School,22/09/2014,clothing shoes & jewelry,women's clothing
tops,5741.42,9,jcb,Tevolio,24/01/2015,clothing shoes & jewelry,women's clothing
dresses,883.31,4,bankcard,Harper and Zoe,01/03/2015,clothing shoes & jewelry,women's clothing
jeans,2184.16,12,jcb,Xhilaration,14/04/2015,clothing shoes & jewelry,women's clothing
sleepwear,6052.38,6,americanexpress,Dickies,01/06/2014,clothing shoes & jewelry,women's clothing
intimates,2767.84,2,diners-club-us-ca,Mossimo Supply Co.,18/02/2015,clothing shoes & jewelry,women's clothing
swimsuits,9113.11,18,jcb,VERO MODA,31/01/2015,clothing shoes & jewelry,women's clothing
socks & hosiery,1267.93,5,jcb,DC Comics,19/05/2014,clothing shoes & jewelry,women's clothing
blazers & jackets,8710.66,1,instapayment,Tevolio,05/03/2015,clothing shoes & jewelry,women's clothing
dresses,9925.62,10,jcb,Mossimo,17/09/2014,clothing shoes & jewelry,women's clothing
suits,9936.46,18,maestro,Lily Star,12/02/2015,clothing shoes & jewelry,women's clothing
sweaters,1177.55,19,jcb,Olde School,25/01/2015,clothing shoes & jewelry,women's clothing
tops,7520.82,1,instapayment,Lilly Pulitzer for Target,28/06/2014,clothing shoes & jewelry,women's clothing
jeans,3672.71,16,jcb,No Retreat,29/03/2015,clothing shoes & jewelry,women's clothing
skirts,6186.64,15,solo,Cherokee,31/05/2014,clothing shoes & jewelry,women's clothing
outerwear,1891.94,20,solo,Jeffrey Max,24/02/2015,clothing shoes & jewelry,women's clothing
intimates,787.46,15,mastercard,Halo,31/07/2014,clothing shoes & jewelry,women's clothing
blazers & jackets,6744.16,17,mastercard,Denizen from Levi's,15/05/2015,clothing shoes & jewelry,women's clothing
blazers & jackets,9227.17,8,visa,Dickies,02/04/2015,clothing shoes & jewelry,women's clothing
pants,6648.21,1,switch,Mossimo Supply Co,25/02/2015,clothing shoes & jewelry,women's clothing
shorts,6899.34,19,switch,Lily Star,25/10/2014,clothing shoes & jewelry,women's clothing
outerwear,8262.59,5,jcb,Vanilla Star,14/11/2014,clothing shoes & jewelry,women's clothing
jeans,7646.09,20,laser,Mossimo Supply Co,18/03/2015,clothing shoes & jewelry,women's clothing
skirts,2278.43,12,jcb,Mossimo Supply Co.,29/05/2014,clothing shoes & jewelry,women's clothing
sweaters,4119.12,9,visa,Denizen from Levi's,09/05/2015,clothing shoes & jewelry,women's clothing
sweaters,9809.31,11,bankcard,Wrangler,31/12/2014,clothing shoes & jewelry,women's clothing
shorts,9718.93,14,maestro,JACHS Manufacturing Co,19/12/2014,clothing shoes & jewelry,women's clothing
sleepwear,3531.62,13,jcb,Cherokee,06/03/2015,clothing shoes & jewelry,women's clothing
swimsuits,977.41,14,jcb,Jeffrey Max,01/10/2014,clothing shoes & jewelry,women's clothing
outerwear,7486.99,4,jcb,Mossimo,26/10/2014,clothing shoes & jewelry,women's clothing
jeans,9589.35,3,jcb,Xhilaration,12/06/2014,clothing shoes & jewelry,women's clothing
sweaters,6921.16,15,maestro,Wrangler,08/12/2014,clothing shoes & jewelry,women's clothing
dresses,1652.22,11,diners-club-enroute,Mossimo Supply Co,15/05/2015,clothing shoes & jewelry,women's clothing
dresses,6989.23,5,solo,Xhilaration,07/09/2014,clothing shoes & jewelry,women's clothing
sleepwear,7562.26,4,china-unionpay,Xhilaration,14/02/2015,clothing shoes & jewelry,women's clothing
dresses,3065.71,8,jcb,Mossimo,11/09/2014,clothing shoes & jewelry,women's clothing
activewear,9333.65,9,jcb,Mossimo,19/12/2014,clothing shoes & jewelry,women's clothing
outerwear,6507.09,17,jcb,Denizen from Levi's,11/11/2014,clothing shoes & jewelry,women's clothing
pants,8115.84,20,maestro,ISANI for Target,23/08/2014,clothing shoes & jewelry,women's clothing
outerwear,2316.72,6,mastercard,Denizen from Levi's,12/08/2014,clothing shoes & jewelry,women's clothing
swimsuits,7611.53,13,bankcard,ISANI for Target,13/11/2014,clothing shoes & jewelry,women's clothing
socks & hosiery,5837.45,14,mastercard,Cherokee,12/09/2014,clothing shoes & jewelry,women's clothing
skirts,5945.08,19,jcb,Harper and Zoe,01/08/2014,clothing shoes & jewelry,women's clothing
outerwear,5684.66,14,visa-electron,Ambar,17/04/2015,clothing shoes & jewelry,women's clothing
suits,6123.02,16,china-unionpay,C9 Champion,08/11/2014,clothing shoes & jewelry,women's clothing
outerwear,8365.18,11,diners-club-enroute,Lily Star,01/09/2014,clothing shoes & jewelry,women's clothing
tops,5482.13,19,jcb,Wrangler,14/08/2014,clothing shoes & jewelry,women's clothing
suits,7265.64,19,switch,Lily Star,24/07/2014,clothing shoes & jewelry,women's clothing
intimates,8384.99,9,jcb,Lily Star,21/10/2014,clothing shoes & jewelry,women's clothing
sweaters,6675.32,14,jcb,DC Comics,10/07/2014,clothing shoes & jewelry,women's clothing
jeans,3744.64,18,mastercard,Dickies,20/07/2014,clothing shoes & jewelry,women's clothing
jeans,5225.34,11,jcb,ISANI for Target,10/09/2014,clothing shoes & jewelry,women's clothing
activewear,1162.02,8,diners-club-carte-blanche,Denizen from Levi's,29/01/2015,clothing shoes & jewelry,women's clothing
intimates,5816.59,6,jcb,DC Comics,08/05/2015,clothing shoes & jewelry,women's clothing
outerwear,6240.69,14,jcb,Dickies,25/02/2015,clothing shoes & jewelry,women's clothing
intimates,4103.28,7,switch,Ambar,30/04/2015,clothing shoes & jewelry,women's clothing
dresses,3792.49,19,jcb,Merona,12/02/2015,clothing shoes & jewelry,women's clothing
jeans,1671.62,11,jcb,Mossimo,20/03/2015,clothing shoes & jewelry,women's clothing
jeans,1333.58,3,laser,DC Comics,10/10/2014,clothing shoes & jewelry,women's clothing
tops,107.54,11,jcb,No Retreat,31/08/2014,clothing shoes & jewelry,women's clothing
pants,6059.6,8,diners-club-enroute,XOXO,10/03/2015,clothing shoes & jewelry,women's clothing
outerwear,2024.86,3,jcb,Wrangler,10/05/2015,clothing shoes & jewelry,women's clothing
sleepwear,2730.59,7,americanexpress,JACHS Manufacturing Co,09/11/2014,clothing shoes & jewelry,women's clothing
tops,3076.77,19,mastercard,Mossimo,03/12/2014,clothing shoes & jewelry,women's clothing
suits,6737.18,20,jcb,Olde School,19/04/2015,clothing shoes & jewelry,women's clothing
sweaters,2934.63,1,visa-electron,XOXO,04/11/2014,clothing shoes & jewelry,women's clothing
shorts,5466.69,6,jcb,Corona,23/02/2015,clothing shoes & jewelry,women's clothing
outerwear,2468.95,7,jcb,VERO MODA,14/08/2014,clothing shoes & jewelry,women's clothing
suits,4408.3,9,china-unionpay,Olde School,22/09/2014,clothing shoes & jewelry,women's clothing
socks & hosiery,1423.21,13,maestro,C9 Champion,21/06/2014,clothing shoes & jewelry,women's clothing
skirts,3496.2,15,jcb,Vanilla Star,03/04/2015,clothing shoes & jewelry,women's clothing
blazers & jackets,1201.44,8,jcb,No Retreat,12/09/2014,clothing shoes & jewelry,women's clothing
shorts,4137.34,10,jcb,Star Wars,22/10/2014,clothing shoes & jewelry,women's clothing
intimates,2350.23,2,mastercard,Batman,15/04/2015,clothing shoes & jewelry,women's clothing
sweaters,675,19,jcb,Harper and Zoe,06/12/2014,clothing shoes & jewelry,women's clothing
sweaters,1905.62,12,jcb,VERO MODA,16/10/2014,clothing shoes & jewelry,women's clothing
sweaters,2803.8,10,bankcard,DC Comics,25/09/2014,clothing shoes & jewelry,women's clothing
dresses,5162.26,8,jcb,Halo,23/03/2015,clothing shoes & jewelry,women's clothing
sweaters,5880.48,15,jcb,Mossimo Supply Co,28/05/2014,clothing shoes & jewelry,women's clothing
shorts,4242.83,10,switch,Mossimo Supply Co.,27/12/2014,clothing shoes & jewelry,women's clothing
shorts,398.59,9,diners-club-carte-blanche,Mossimo Supply Co.,24/11/2014,clothing shoes & jewelry,women's clothing
dresses,5720.14,3,china-unionpay,Cherokee,03/04/2015,clothing shoes & jewelry,women's clothing
blazers & jackets,2103.5,16,jcb,Xhilaration,07/12/2014,clothing shoes & jewelry,women's clothing
swimsuits,9094.83,3,china-unionpay,Mossimo Supply Co.,04/06/2014,clothing shoes & jewelry,women's clothing
sleepwear,3444.53,7,visa-electron,Mossimo,01/03/2015,clothing shoes & jewelry,women's clothing
tops,9253.74,8,jcb,Star Wars,02/09/2014,clothing shoes & jewelry,women's clothing
tops,1889.78,18,jcb,Lily Star,13/01/2015,clothing shoes & jewelry,women's clothing
blazers & jackets,7063.28,12,switch,Vanilla Star,11/03/2015,clothing shoes & jewelry,women's clothing
activewear,5906.51,20,jcb,Merona,27/09/2014,clothing shoes & jewelry,women's clothing
outerwear,3182.21,7,jcb,Harper and Zoe,28/11/2014,clothing shoes & jewelry,women's clothing
socks & hosiery,1873.44,11,jcb,Mossimo Supply Co,28/10/2014,clothing shoes & jewelry,women's clothing
activewear,2742.26,9,jcb,JACHS Manufacturing Co,27/11/2014,clothing shoes & jewelry,women's clothing
outerwear,8714.05,12,china-unionpay,Lilly Pulitzer for Target,04/04/2015,clothing shoes & jewelry,women's clothing
sweaters,7102.93,1,maestro,Jeffrey Max,13/11/2014,clothing shoes & jewelry,women's clothing
sweaters,5746.05,5,jcb,Corona,19/04/2015,clothing shoes & jewelry,women's clothing
outerwear,6262.36,6,diners-club-enroute,Harper and Zoe,28/02/2015,clothing shoes & jewelry,women's clothing
socks & hosiery,5926.74,12,jcb,Denizen from Levi's,04/06/2014,clothing shoes & jewelry,women's clothing
shorts,935.42,5,jcb,Halo,19/09/2014,clothing shoes & jewelry,women's clothing
jeans,2668.45,6,maestro,Halo,15/08/2014,clothing shoes & jewelry,women's clothing
socks & hosiery,9375.29,17,jcb,Merona,15/09/2014,clothing shoes & jewelry,women's clothing
jeans,4055.58,3,jcb,Ambar,24/06/2014,clothing shoes & jewelry,women's clothing
pants,3605.42,10,americanexpress,Lily Star,15/09/2014,clothing shoes & jewelry,women's clothing
suits,1668.1,3,diners-club-carte-blanche,Olde School,12/02/2015,clothing shoes & jewelry,women's clothing
dresses,610.89,16,solo,Harper and Zoe,14/12/2014,clothing shoes & jewelry,women's clothing
swimsuits,5823.08,17,maestro,Wrangler,27/09/2014,clothing shoes & jewelry,women's clothing
blazers & jackets,8650.19,5,jcb,Batman,14/09/2014,clothing shoes & jewelry,women's clothing
activewear,2443.66,14,diners-club-us-ca,ISANI for Target,26/02/2015,clothing shoes & jewelry,women's clothing
skirts,269.3,7,mastercard,Halo,13/02/2015,clothing shoes & jewelry,women's clothing
outerwear,5628.3,2,china-unionpay,VERO MODA,05/08/2014,clothing shoes & jewelry,women's clothing
pants,5176.06,1,visa-electron,Cherokee,17/01/2015,clothing shoes & jewelry,women's clothing
shorts,2642.84,1,jcb,Lilly Pulitzer for Target,18/04/2015,clothing shoes & jewelry,women's clothing
tops,6879.62,16,jcb,XOXO,09/04/2015,clothing shoes & jewelry,women's clothing
activewear,3479.52,16,jcb,Dickies,05/02/2015,clothing shoes & jewelry,women's clothing
pants,3948.65,20,jcb,Olde School,13/10/2014,clothing shoes & jewelry,women's clothing
outerwear,1623.29,11,jcb,XOXO,01/03/2015,clothing shoes & jewelry,women's clothing
sweaters,9232.33,1,solo,Denizen from Levi's,06/06/2014,clothing shoes & jewelry,women's clothing
intimates,419.15,17,jcb,ISANI for Target,18/02/2015,clothing shoes & jewelry,women's clothing
jeans,7332.5,3,bankcard,Tevolio,07/01/2015,clothing shoes & jewelry,women's clothing
tops,2217.96,14,jcb,Lily Star,31/07/2014,clothing shoes & jewelry,women's clothing
activewear,3589.78,8,americanexpress,Jeffrey Max,17/05/2015,clothing shoes & jewelry,women's clothing
sleepwear,8088.28,10,jcb,Mossimo,05/04/2015,clothing shoes & jewelry,women's clothing
jeans,4302.41,19,maestro,DC Comics,16/11/2014,clothing shoes & jewelry,women's clothing
socks & hosiery,4533.53,3,jcb,Vanilla Star,01/11/2014,clothing shoes & jewelry,women's clothing
intimates,3645.77,18,jcb,ISANI for Target,02/06/2014,clothing shoes & jewelry,women's clothing
swimsuits,2628.5,15,switch,Jeffrey Max,23/05/2014,clothing shoes & jewelry,women's clothing
activewear,1852.49,12,jcb,Ambar,21/08/2014,clothing shoes & jewelry,women's clothing
dresses,3316.98,6,jcb,No Retreat,20/09/2014,clothing shoes & jewelry,women's clothing
intimates,7834.93,8,visa-electron,DC Comics,04/02/2015,clothing shoes & jewelry,women's clothing
skirts,364.11,1,jcb,Denizen from Levi's,21/02/2015,clothing shoes & jewelry,women's clothing
socks & hosiery,9776.57,15,jcb,C9 Champion,08/11/2014,clothing shoes & jewelry,women's clothing
pants,2393.11,2,jcb,VERO MODA,13/08/2014,clothing shoes & jewelry,women's clothing
jeans,7514.99,7,jcb,Jeffrey Max,13/07/2014,clothing shoes & jewelry,women's clothing
skirts,9941.98,3,jcb,JACHS Manufacturing Co,16/01/2015,clothing shoes & jewelry,women's clothing
activewear,4266,18,jcb,Batman,05/01/2015,clothing shoes & jewelry,women's clothing
jeans,5879.22,4,china-unionpay,Mossimo,05/12/2014,clothing shoes & jewelry,women's clothing
dresses,3745.79,2,switch,C9 Champion,07/01/2015,clothing shoes & jewelry,women's clothing
tops,8738.9,19,china-unionpay,Ambar,21/07/2014,clothing shoes & jewelry,women's clothing
dresses,2344.08,13,switch,Mossimo Supply Co.,27/08/2014,clothing shoes & jewelry,women's clothing
swimsuits,6789.6,13,bankcard,Ambar,04/10/2014,clothing shoes & jewelry,women's clothing
sweaters,1778.58,11,jcb,Wrangler,30/01/2015,clothing shoes & jewelry,women's clothing
dresses,6117.37,14,jcb,Lilly Pulitzer for Target,02/07/2014,clothing shoes & jewelry,women's clothing
tops,1469.78,3,maestro,Xhilaration,01/01/2015,clothing shoes & jewelry,women's clothing
blazers & jackets,4551.37,4,jcb,Xhilaration,14/06/2014,clothing shoes & jewelry,women's clothing
swimsuits,551.22,19,jcb,Corona,08/03/2015,clothing shoes & jewelry,women's clothing
sweaters,3042.76,10,diners-club-carte-blanche,Cherokee,30/07/2014,clothing shoes & jewelry,women's clothing
outerwear,2851.21,11,diners-club-us-ca,Wrangler,29/09/2014,clothing shoes & jewelry,women's clothing
intimates,1402.4,12,jcb,Mossimo Supply Co.,25/11/2014,clothing shoes & jewelry,women's clothing
suits,1593.11,9,jcb,Merona,26/07/2014,clothing shoes & jewelry,women's clothing
shorts,8956.25,4,jcb,Tevolio,17/04/2015,clothing shoes & jewelry,women's clothing
outerwear,8823.57,10,jcb,Lily Star,04/11/2014,clothing shoes & jewelry,women's clothing
swimsuits,8043.34,2,jcb,Mossimo,06/08/2014,clothing shoes & jewelry,women's clothing
shorts,3453.39,13,jcb,Lilly Pulitzer for Target,04/07/2014,clothing shoes & jewelry,women's clothing
activewear,634.04,17,diners-club-carte-blanche,Dickies,06/08/2014,clothing shoes & jewelry,women's clothing
activewear,2980.28,19,jcb,Xhilaration,04/04/2015,clothing shoes & jewelry,women's clothing
outerwear,6913.43,19,diners-club-carte-blanche,Dickies,25/12/2014,clothing shoes & jewelry,women's clothing
outerwear,7224.66,3,jcb,Vanilla Star,01/06/2014,clothing shoes & jewelry,women's clothing
activewear,188.89,18,mastercard,Xhilaration,11/04/2015,clothing shoes & jewelry,women's clothing
outerwear,570.18,4,jcb,Corona,04/04/2015,clothing shoes & jewelry,women's clothing
outerwear,7838.08,7,jcb,Corona,24/06/2014,clothing shoes & jewelry,women's clothing
sweaters,848.16,10,visa-electron,XOXO,17/05/2015,clothing shoes & jewelry,women's clothing
activewear,3998.21,19,jcb,XOXO,17/08/2014,clothing shoes & jewelry,women's clothing
socks & hosiery,748.06,2,switch,Star Wars,11/02/2015,clothing shoes & jewelry,women's clothing
jeans,5816.95,7,instapayment,DC Comics,01/03/2015,clothing shoes & jewelry,women's clothing
activewear,8690.9,11,maestro,Denizen from Levi's,15/01/2015,clothing shoes & jewelry,women's clothing
shorts,3561.73,14,solo,Dickies,01/11/2014,clothing shoes & jewelry,women's clothing
sleepwear,1329.53,7,jcb,Dickies,02/07/2014,clothing shoes & jewelry,women's clothing
activewear,4334.42,17,switch,Mossimo,30/06/2014,clothing shoes & jewelry,women's clothing
swimsuits,8013.06,14,mastercard,Batman,11/04/2015,clothing shoes & jewelry,women's clothing
activewear,9974.37,7,mastercard,No Retreat,14/11/2014,clothing shoes & jewelry,women's clothing
socks & hosiery,2478.69,12,jcb,Vanilla Star,18/11/2014,clothing shoes & jewelry,women's clothing
suits,7506.09,5,china-unionpay,Jeffrey Max,03/10/2014,clothing shoes & jewelry,women's clothing
socks & hosiery,409.06,20,jcb,Mossimo,12/04/2015,clothing shoes & jewelry,women's clothing
outerwear,4136.75,2,jcb,Tevolio,03/05/2015,clothing shoes & jewelry,women's clothing
shorts,7561.71,13,diners-club-carte-blanche,XOXO,01/06/2014,clothing shoes & jewelry,women's clothing
skirts,2026.7,12,maestro,JACHS Manufacturing Co,03/05/2015,clothing shoes & jewelry,women's clothing
shorts,8682.08,6,bankcard,Corona,27/04/2015,clothing shoes & jewelry,women's clothing
blazers & jackets,4627.14,14,jcb,ISANI for Target,20/11/2014,clothing shoes & jewelry,women's clothing
shorts,5682.25,20,maestro,Mossimo,06/01/2015,clothing shoes & jewelry,women's clothing
jeans,739.68,1,jcb,VERO MODA,14/11/2014,clothing shoes & jewelry,women's clothing
jeans,9765.24,17,jcb,Star Wars,20/02/2015,clothing shoes & jewelry,women's clothing
swimsuits,7173.84,2,china-unionpay,Harper and Zoe,06/11/2014,clothing shoes & jewelry,women's clothing
dresses,9435.65,5,china-unionpay,Dickies,23/04/2015,clothing shoes & jewelry,women's clothing
jeans,6361.16,12,jcb,C9 Champion,19/04/2015,clothing shoes & jewelry,women's clothing
outerwear,893.36,15,jcb,Vanilla Star,21/10/2014,clothing shoes & jewelry,women's clothing
sweaters,7771.94,6,switch,Vanilla Star,15/10/2014,clothing shoes & jewelry,women's clothing
